wkt_geom;Value;Count;World_Lan1;World_Mois;World_Temp;World_Lan2;LF_ClassNa;LC_ClassNa;Temp_Class;Moisture_C;Temp_Moist;W_Ecosystm
NULL;401;724485;1;3;5;4;Mountains;Grassland;Tropical;Moist;Tropical Moist;Tropical Moist Grassland on Mountains
NULL;402;112635;1;3;5;6;Mountains;Sparsely or Non-vegetated;Tropical;Moist;Tropical Moist;Tropical Moist Sparsely or Non-vegetated on Mountains
NULL;403;1464048;2;3;5;4;Hills;Grassland;Tropical;Moist;Tropical Moist;Tropical Moist Grassland on Hills
NULL;404;3341105;1;3;5;2;Mountains;Shrubland;Tropical;Moist;Tropical Moist;Tropical Moist Shrubland on Mountains
NULL;405;188666;1;3;5;5;Mountains;Settlement;Tropical;Moist;Tropical Moist;Tropical Moist Settlement on Mountains
NULL;406;7506;2;1;5;3;Hills;Forest;Tropical;Desert;Tropical Desert;Tropical Desert Forest on Hills
NULL;407;238405;2;3;5;5;Hills;Settlement;Tropical;Moist;Tropical Moist;Tropical Moist Settlement on Hills
NULL;408;6185946;2;3;5;2;Hills;Shrubland;Tropical;Moist;Tropical Moist;Tropical Moist Shrubland on Hills
NULL;409;7451512;3;3;5;3;Tablelands;Forest;Tropical;Moist;Tropical Moist;Tropical Moist Forest on Tablelands
NULL;410;1295328;3;3;5;2;Tablelands;Shrubland;Tropical;Moist;Tropical Moist;Tropical Moist Shrubland on Tablelands
NULL;411;1841776;3;3;5;1;Tablelands;Cropland;Tropical;Moist;Tropical Moist;Tropical Moist Cropland on Tablelands
NULL;412;39906;3;1;5;2;Tablelands;Shrubland;Tropical;Desert;Tropical Desert;Tropical Desert Shrubland on Tablelands
NULL;413;21549;3;3;5;5;Tablelands;Settlement;Tropical;Moist;Tropical Moist;Tropical Moist Settlement on Tablelands
NULL;414;273880;3;3;5;4;Tablelands;Grassland;Tropical;Moist;Tropical Moist;Tropical Moist Grassland on Tablelands
NULL;415;52252;2;3;5;6;Hills;Sparsely or Non-vegetated;Tropical;Moist;Tropical Moist;Tropical Moist Sparsely or Non-vegetated on Hills
NULL;416;21094;3;3;5;6;Tablelands;Sparsely or Non-vegetated;Tropical;Moist;Tropical Moist;Tropical Moist Sparsely or Non-vegetated on Tablelands
NULL;417;9638;1;1;5;3;Mountains;Forest;Tropical;Desert;Tropical Desert;Tropical Desert Forest on Mountains
NULL;418;4466;3;1;5;3;Tablelands;Forest;Tropical;Desert;Tropical Desert;Tropical Desert Forest on Tablelands
NULL;419;5;1;2;3;8;Mountains;Snow and Ice;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Snow and Ice on Mountains
NULL;420;3;4;2;2;8;Plains;Snow and Ice;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Snow and Ice on Plains
NULL;421;5627;3;1;6;6;Tablelands;Sparsely or Non-vegetated;Polar;Desert;Polar Desert;Polar Desert Sparsely or Non-vegetated on Tablelands
NULL;422;19;3;1;6;5;Tablelands;Settlement;Polar;Desert;Polar Desert;Polar Desert Settlement on Tablelands
NULL;423;851;3;1;6;2;Tablelands;Shrubland;Polar;Desert;Polar Desert;Polar Desert Shrubland on Tablelands
NULL;424;2877;4;1;6;6;Plains;Sparsely or Non-vegetated;Polar;Desert;Polar Desert;Polar Desert Sparsely or Non-vegetated on Plains
NULL;425;59;4;1;6;2;Plains;Shrubland;Polar;Desert;Polar Desert;Polar Desert Shrubland on Plains
NULL;426;21;4;1;6;1;Plains;Cropland;Polar;Desert;Polar Desert;Polar Desert Cropland on Plains
NULL;427;41;4;1;6;3;Plains;Forest;Polar;Desert;Polar Desert;Polar Desert Forest on Plains
NULL;428;352;1;1;6;5;Mountains;Settlement;Polar;Desert;Polar Desert;Polar Desert Settlement on Mountains
NULL;429;38;3;1;3;3;Tablelands;Forest;Warm Temperate;Desert;Warm Temperate Desert;Warm Temperate Desert Forest on Tablelands
NULL;430;4;3;1;6;4;Tablelands;Grassland;Polar;Desert;Polar Desert;Polar Desert Grassland on Tablelands
NULL;431;19;4;1;6;4;Plains;Grassland;Polar;Desert;Polar Desert;Polar Desert Grassland on Plains
