wkt_geom;Value;Count;World_Lan1;World_Mois;World_Temp;World_Lan2;LF_ClassNa;LC_ClassNa;Temp_Class;Moisture_C;Temp_Moist;W_Ecosystm
NULL;99;168026;3;3;2;6;Tablelands;Sparsely or Non-vegetated;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Sparsely or Non-vegetated on Tablelands
NULL;100;856843;3;3;2;2;Tablelands;Shrubland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Shrubland on Tablelands
NULL;101;13683876;3;3;2;3;Tablelands;Forest;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Forest on Tablelands
NULL;102;6799603;3;3;2;1;Tablelands;Cropland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Cropland on Tablelands
NULL;103;10239016;1;3;2;1;Mountains;Cropland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Cropland on Mountains
NULL;104;273543;2;3;2;6;Hills;Sparsely or Non-vegetated;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Sparsely or Non- vegetated on Hills
NULL;105;32745889;2;3;2;3;Hills;Forest;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Forest on Hills
NULL;106;1638763;2;3;2;2;Hills;Shrubland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Shrubland on Hills
NULL;107;9856909;1;3;2;4;Mountains;Grassland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Grassland on Mountains
NULL;108;1269548;2;3;2;5;Hills;Settlement;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Settlement on Hills
NULL;109;1228365;3;3;2;4;Tablelands;Grassland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Grassland on Tablelands
NULL;110;20500111;2;3;2;1;Hills;Cropland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Cropland on Hills
NULL;111;56767522;4;3;2;3;Plains;Forest;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Forest on Plains
